geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC	bt_t04_mucin_A	bt_t04_mucin_B	bt_t04_mucin_C	bt_t12_mucin_A	bt_t12_mucin_B	bt_t12_mucin_C	bt_t24_mucin_A	bt_t24_mucin_B	bt_t24_mucin_C	bt_t48_mucin_A	bt_t48_mucin_B	bt_t48_mucin_C	bt_t120_mucin_A	bt_t120_mucin_B	bt_t120_mucin_C	btri_bt_t06_mucinA	btri_bt_t06_mucinB	btri_bt_t06_mucinC	btri_bt_t12_mucinA	btri_bt_t12_mucinB	btri_bt_t12_mucinC	btri_bt_t24_mucinA	btri_bt_t24_mucinB	btri_bt_t24_mucinC	btri_bt_t48_mucinA	btri_bt_t48_mucinB	btri_bt_t48_mucinC	btri_bt_t120_mucinA	btri_bt_t120_mucinB	btri_bt_t120_mucinC
BT_p548217	""	AAO45315	""	0.225073	0.182956	1.144987	0.000000	2.050940	1.749737	0.000000	0.000000	0.000000	0.983499	2.264588	2.400140	21.048147	0.000000	4.422070	45.803241	64.285253	5.427191	0.229419	1.008944	0.251498	2.261219	2.366381	7.152490	1.936579	14.041842	3.062048	0.000000	24.884254	34.121366	0.000000	19.296381	63.885585	0.000000	0.248829	0.271178	2.002929	1.403835	0.835163	19.688419	23.250015	0.000000	153.860173	0.000000	227.927974	31.495262	50.217088	99.764531
BT_p548218	fig|226186.12.peg.4863	AAO45316	hypothetical protein	1.398552	0.997670	0.749977	2.019639	2.388163	1.651508	21.440441	18.400499	24.130507	5.326753	6.653913	4.389626	31.942423	41.715124	50.096549	45.273089	42.322589	58.582255	3.166539	1.049636	1.440157	5.188767	4.685600	3.576209	17.114408	12.926335	9.098180	50.633834	20.609699	37.824997	0.000000	17.243221	15.052450	1.173290	1.283204	1.587004	2.354544	3.528622	3.728064	12.214180	10.310041	13.137724	118.267507	222.722180	142.492846	55.222219	49.927186	41.574406
BT_p548219	""	AAO45317	""	0.942844	0.901883	1.027750	3.031684	0.968374	1.824661	28.336032	27.393759	43.277008	6.548430	6.764912	6.542754	42.394126	50.367194	40.306744	66.074270	21.958582	36.227984	0.683911	0.906399	1.318022	2.858562	3.852576	4.486611	20.979819	15.334045	8.979746	19.889822	34.350691	10.143591	31.835960	21.105644	33.835589	0.311109	0.759748	0.919071	3.265960	3.015817	3.436255	11.187173	11.850005	3.604440	93.087903	104.795300	84.908286	101.368771	71.412168	63.234450
BT_p548220	""	AAO45318	""	0.584941	0.611859	0.778892	3.200692	0.663244	3.200439	22.145056	4.784317	23.078287	9.922365	12.705915	9.454388	25.990502	37.203705	21.985089	12.559270	64.568605	51.271060	1.660702	1.286074	1.595597	5.037708	5.284970	4.311806	11.712440	4.973420	7.692579	43.700900	3.827986	14.233511	0.000000	2.379964	0.000000	1.035690	2.199987	1.252216	3.738737	4.237003	3.929612	4.261826	7.902721	4.687008	145.602192	91.646716	235.402776	45.889702	43.885681	39.128238
BT_p548221	fig|226186.12.peg.4864	AAO45319	hypothetical protein	15.120897	12.951512	16.629346	116.885161	88.638161	101.198931	46293.849284	59261.666511	50340.949915	240.482952	235.453463	237.535177	88100.955781	55439.743883	80474.857980	29757.445302	38465.588147	116304.412648	1.252649	11.274236	22.083056	309.593108	187.004640	208.243911	61297.648123	39183.814321	47542.756783	31988.730303	27265.383887	28307.044547	25396.052186	27202.345990	27155.057227	3.180917	7.336689	11.921888	207.521918	185.566109	185.369012	31708.769011	20511.323784	32037.938831	79220.474295	115163.547779	71017.239743	102030.389966	136944.620216	111430.102677
BT_p548222	fig|226186.12.peg.4865	AAO45320	hypothetical protein	338.756185	367.440639	307.531797	1160.211996	1216.815014	1227.037282	3990.616334	3663.233608	4557.036974	2503.964498	3238.073664	3592.961637	9946.760714	13473.483345	12683.850370	2299.427190	9254.804878	10207.916195	303.955638	420.433920	396.400160	2591.661888	2046.316617	1857.736217	4318.790598	2685.820388	3563.036429	5452.274763	4997.224268	4198.169858	8990.454238	9334.076161	10255.557093	334.202196	452.794664	502.913891	1324.336590	1657.561009	1666.435908	5300.285920	5116.616230	4916.552030	8562.911034	8785.418957	8534.146187	6710.896104	4931.948168	4999.225146
BT_p548223	""	AAO45321	""	46.677404	48.773104	67.638604	21.326755	18.617962	23.350204	17.673065	47.741226	40.345072	66.556984	53.571077	71.411124	27.215384	46.334862	53.524213	71.318415	38.948866	147.051003	78.273922	62.460384	67.303180	45.571972	43.075820	44.073726	39.524868	41.587904	29.620400	0.000000	15.194966	22.197622	251.724838	22.819127	29.381065	40.919673	62.519301	66.507832	41.350529	44.548693	33.205916	34.051877	22.545907	1.517281	112.381758	48.200485	40.729959	65.174150	88.915706	83.398914
BT_p548224	""	AAO45322	""	6.387388	11.783182	7.692017	0.352771	4.526054	3.479062	0.000000	6.511957	0.000000	1.780437	2.050660	7.364270	31.874192	20.822871	0.000000	14.102764	0.000000	2.887237	4.077027	5.576796	9.320901	7.141799	2.019389	2.905130	4.257656	25.706658	13.471371	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.570842	8.816062	6.620639	9.954996	5.002789	11.983037	31.446391	32.148637	78.168781	98.379841	0.000000	0.000000	44.129683	33.254191	36.623875
BT_p548225	""	AAO45323	""	20.213050	28.917326	26.023137	12.853054	12.482571	11.794848	17.947164	49.080561	5.139271	16.736562	11.613542	14.123196	21.423550	25.635268	30.770459	19.992222	72.079959	35.973608	17.854895	28.156879	29.771595	5.931693	13.792660	15.303432	37.056072	30.008903	48.147433	6.564731	0.000000	9.536133	38.689840	18.648721	15.337602	32.587547	28.311107	29.437428	37.241913	29.858404	37.203311	72.971341	48.793018	69.903081	68.380519	38.651231	44.162832	19.463234	41.029562	19.498138
BT_p548226	""	AAO45324	""	0.986007	0.886690	0.778876	1.372287	0.832126	0.511757	10.268654	19.263893	0.000000	1.475701	2.013798	1.150074	8.558766	22.126152	0.000000	28.995062	16.838300	0.000000	1.982504	0.907397	0.309875	0.418570	1.635028	1.186592	3.606622	2.543953	3.563232	20.150085	8.282321	4.838481	0.000000	8.984820	9.999645	0.306064	0.433226	0.651169	2.616564	1.556094	1.331021	4.825134	2.083604	0.000000	0.000000	7.134594	0.000000	20.730612	36.312721	41.672679
BT_p548227	fig|226186.12.peg.4866	AAO45325	Immunoreactive 53 kDa antigen PG123	23.650392	18.227753	22.970324	8.461191	9.616959	10.333063	51.593742	51.168433	43.390069	22.176877	29.321339	26.341275	51.186099	55.321806	58.379919	37.428260	22.233932	45.601334	31.799355	31.155066	40.824814	21.976237	25.723928	20.582622	23.469498	16.486731	23.196744	20.652454	33.290530	29.502913	14.369623	29.697529	54.005656	24.050052	32.174414	37.563734	6.336663	8.188384	6.626480	22.203138	16.299286	20.788482	87.388499	99.970794	126.074240	44.625143	49.833542	37.270763
BT_p548228	fig|226186.12.peg.4867	AAO45326	hypothetical protein	18.567315	16.266887	18.696840	9.837681	12.857275	12.394112	37.068820	31.462124	62.725257	16.733478	17.535081	17.188668	26.199205	16.622082	46.632033	23.630569	29.182251	34.670175	34.989183	25.040938	24.861782	12.187849	15.411466	14.707180	7.227186	11.150355	8.881255	22.164174	28.791065	34.274407	24.046548	37.307214	42.620412	14.696099	15.861426	18.586780	6.513520	7.146025	7.097765	8.026330	9.095762	10.200077	89.366620	83.634019	74.528762	47.279118	37.798226	31.067647
BT_p548229	fig|226186.12.peg.4868	AAO45327	hypothetical protein	14.197168	11.421500	12.724302	8.960509	8.782663	5.483150	48.617256	40.022141	57.931824	14.127315	12.908524	11.157847	30.849050	14.273889	45.325038	42.784241	45.357468	45.862553	24.333388	15.342126	14.562532	10.654815	10.327123	9.835520	13.777214	11.808495	10.004626	41.125888	37.820534	54.910331	45.069504	37.481159	68.050505	7.819620	10.510346	11.740662	6.459065	8.694291	7.043553	11.126857	10.510900	7.831441	86.216967	95.778796	81.275935	60.500224	48.099773	53.220203
BT_p548230	""	AAO45328	""	22.554240	17.077502	16.868222	10.693748	12.162212	17.076073	5.701336	58.137212	64.159904	12.564995	17.252657	28.743993	89.226172	36.032127	0.000000	22.160742	14.100320	51.372766	7.666441	11.248024	21.188606	29.862850	11.863083	17.707963	24.740655	37.479919	27.224663	84.958204	25.350346	0.000000	80.070023	56.467487	53.254825	12.376513	23.027516	17.788652	14.982458	13.664159	9.316462	11.099419	5.731067	24.402894	28.746054	18.187008	0.000000	53.841400	35.706714	80.969530
BT_p548231	fig|226186.12.peg.4869	AAO45329	Chromosome (plasmid) partitioning protein ParA	127.534544	108.579662	118.172740	399.652147	373.553944	458.036186	530.786869	588.505438	444.646147	514.219813	663.555302	569.586153	2007.314890	1204.028152	1169.443419	310.801271	794.721413	1773.817111	166.951579	170.663451	191.545724	841.552213	760.597031	707.036551	738.989766	607.979059	722.880210	544.048224	508.353591	417.530119	269.516565	253.883424	190.727178	123.222491	171.201248	183.643215	194.404629	254.139694	238.597288	1245.666277	969.376902	1288.072472	1331.611219	1196.809014	1472.625359	187.328349	182.925557	227.264616
BT_p548232	fig|226186.12.peg.4870	AAO45330	hypothetical protein	119.859852	123.238580	105.494656	4.170245	8.346036	6.150370	20.470730	8.828092	3.610236	6.153199	6.970370	9.327884	3.869059	0.000000	0.000000	23.721669	32.392107	0.000000	28.577882	47.154612	100.931269	20.197310	13.923559	17.310176	5.938382	4.570234	16.369384	21.505173	7.684143	8.035246	0.000000	0.000000	12.564256	34.045336	40.466998	47.948595	19.429829	15.332670	20.681177	4.355419	0.000000	6.229676	45.930027	0.000000	20.482552	12.219577	46.313251	28.116416
BT_p548233	fig|226186.12.peg.4871	AAO45331	Putative DNA-binding protein in cluster with Type I restriction-modification system	58.356970	55.398895	76.537017	48.716436	47.153578	63.797260	12.083118	21.762092	33.824812	36.751449	34.840644	40.185368	20.548626	17.363608	22.758095	16.090565	10.556361	26.316381	75.048403	118.717418	82.902874	31.031358	32.372075	39.497574	3.406319	9.821739	8.912252	19.816047	40.131633	22.434080	11.908285	42.566233	33.613274	79.766276	64.494687	81.559200	29.352764	38.535829	38.180012	4.990092	5.937089	10.748866	39.584023	24.308173	26.342369	34.142328	19.208363	19.321943
BT_p548234	fig|226186.12.peg.4872	AAO45332	Resolvase	42.355337	36.450798	40.303367	77.737008	63.245710	91.981198	100.715002	103.247852	59.163049	107.238609	138.407197	120.468406	100.333644	84.206087	104.511535	61.907312	128.815354	152.053556	62.852632	82.818747	79.893953	124.059427	119.853554	117.880884	46.353546	76.769376	51.214025	70.489673	80.294718	74.948465	34.497277	43.707779	61.536062	65.079970	81.813411	96.038743	38.315971	49.982661	46.411729	61.673768	32.802720	63.397919	89.688525	143.009017	93.993096	55.635830	51.462012	46.123576
BT_p548235	fig|226186.12.peg.4874	AAO45333	hypothetical protein	78.805942	61.670875	70.183480	155.177163	146.944511	166.853420	274.700185	264.823340	225.593482	298.170675	281.741102	270.011069	347.918460	259.843428	308.340746	106.789316	310.126401	369.345068	192.498680	136.967630	136.501777	308.131887	369.918451	343.910601	223.818125	237.958785	203.784652	373.180141	349.888244	223.520688	74.520352	82.241701	70.400964	107.294799	122.553689	137.181354	99.854821	120.299103	103.451218	200.538646	61.869009	111.840395	233.227116	322.718456	203.856309	76.803779	58.465585	76.883303
BT_p548236	""	AAO45334	""	40.005170	30.264739	37.971090	7.678257	13.969477	18.502774	29.916698	15.643399	30.623357	35.727612	35.688182	42.709804	27.106639	34.134660	68.971345	15.964566	36.917962	61.065167	17.253716	19.967645	51.190065	51.623369	62.197100	52.617464	15.403459	7.327957	8.502818	26.780946	31.341535	17.676171	42.059700	5.491715	25.132160	20.551643	38.492381	38.822793	22.352876	34.000197	32.021340	8.877997	20.721534	27.136189	192.209682	101.208570	68.190941	46.123360	66.606548	47.146683
BT_p548237	""	AAO45335	""	5.596980	3.518605	4.461695	2.988427	0.876272	5.059285	16.756354	2.704077	2.212954	10.085937	8.080236	5.243646	0.396997	0.000000	0.000000	2.211865	6.250643	0.000000	9.768584	5.464090	5.286430	9.492325	8.885648	7.984943	3.829123	11.227345	6.767269	0.000000	5.823309	0.000000	0.000000	0.000000	0.000000	3.626931	4.992367	5.742543	3.550930	3.591052	2.144639	1.342687	2.474523	11.527638	0.000000	19.743694	103.169845	1.690215	0.000000	0.000000
BT_p548238	fig|226186.12.peg.4875	AAO45336	hypothetical protein	8.794213	8.219747	9.397894	10.095131	9.899376	11.159359	168.015021	136.722999	173.972674	16.157413	15.259600	14.716022	99.297535	102.970672	88.705314	75.165289	126.841931	192.991381	9.496898	12.441226	12.980888	10.198358	10.642000	10.547477	45.594225	43.803554	42.764721	143.448503	182.423351	176.483061	141.391039	136.169463	127.478836	9.740571	11.003588	12.238933	8.893097	10.341132	10.932819	42.759128	40.027694	51.270927	267.258697	387.374941	332.405591	236.214362	233.256237	243.020156
BT_0001	fig|226186.12.peg.1	AAO75108	hypothetical protein	0.806957	1.258078	0.943391	6.760080	6.458628	5.812983	29.648270	8.817561	7.839450	3.661783	3.023406	2.745578	0.660276	4.568545	0.000000	12.990365	3.190347	18.361625	1.208364	1.626402	0.868922	4.712570	3.691975	3.199638	0.228545	4.418809	1.159660	15.781259	3.488602	8.140164	0.000000	9.802913	16.219560	1.134054	1.412040	1.471015	4.680689	5.454386	5.852117	6.989592	2.289008	9.191007	10.520551	26.828693	47.425992	8.742666	21.926994	14.830158
BT_0002	fig|226186.12.peg.2	AAO75109	hypothetical protein	1.157521	1.027314	0.934761	2.252544	2.156048	1.202498	0.000000	0.962567	1.178354	1.588336	2.277004	1.514224	5.471364	7.669213	0.000000	10.679104	7.643520	6.964505	1.094834	0.752094	0.818092	2.275097	1.946598	1.286176	1.139945	0.240215	2.617907	0.000000	0.943869	0.804270	0.000000	1.774904	8.044316	1.041276	0.602552	0.786190	1.861264	2.043168	1.738518	3.644492	2.929475	3.737966	0.000000	5.703360	0.000000	3.409928	2.578367	3.019439
BT_0003	fig|226186.12.peg.3	AAO75110	hypothetical protein	0.565489	0.654214	0.399077	1.618216	0.630974	0.753825	0.000000	0.326603	0.000000	0.832267	0.493297	1.389963	0.699440	2.646397	0.000000	0.000000	0.000000	1.513813	0.512030	0.364728	0.320329	1.276922	1.233842	0.696886	0.827850	0.000000	0.968526	4.956083	0.000000	0.000000	0.000000	7.241557	0.000000	0.751337	0.810023	0.664938	0.548514	0.441007	0.691107	4.453585	3.762223	3.294379	3.892052	5.614911	0.000000	0.000000	2.363801	0.000000
BT_0004	fig|226186.12.peg.4	AAO75111	hypothetical protein	0.074465	0.216240	0.172634	0.418681	0.328521	1.681016	0.000000	0.594614	3.401767	0.068979	0.153096	0.288250	0.728435	0.000000	3.709683	0.000000	0.000000	0.000000	0.135528	0.526155	0.099393	0.145696	0.000000	0.415131	0.000000	0.000000	1.271869	0.000000	0.000000	0.000000	0.000000	0.000000	8.738324	0.000000	0.078671	0.081890	0.144174	0.226429	0.206262	0.559156	2.458437	0.000000	0.000000	0.000000	0.000000	0.689151	0.000000	0.000000
BT_0005	fig|226186.12.peg.5	AAO75112	SSU ribosomal protein S17p (S11e)	0.172101	0.164347	0.069198	0.341142	0.816264	1.163905	0.000000	0.536228	0.000000	0.342918	0.433822	0.175787	0.000000	0.000000	0.000000	0.000000	0.000000	3.212605	0.147684	0.387692	0.281132	0.000000	0.121236	0.231332	0.000000	1.029820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333639	0.291645	0.190243	0.044229	0.311793	0.348683	0.000000	1.206901	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.698141
BT_0006	""	AAO75113	""	0.186297	0.149126	0.142547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166611	0.218812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.859417	0.000000	0.000000	0.495266	0.000000	0.148725	0.128874	0.042808	3.444686	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BT_0007	""	AAO75114	""	0.176523	0.142080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088177	0.194820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.881337	0.000000	1.300128	0.000000	0.000000	0.000000	0.000000	0.261617	0.242776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.856694	0.000000
BT_0008	fig|226186.12.peg.7	AAO75115	hypothetical protein	75.329934	67.843912	78.668809	22.368623	28.185325	32.912094	78.584021	73.315225	52.049058	15.622368	15.609781	17.145424	43.642251	55.189322	44.584396	115.807881	38.500458	32.517311	62.083631	62.946924	54.518088	23.561336	13.467389	13.930999	48.571075	35.655043	49.025926	110.818563	67.383201	113.320076	142.982526	149.638824	75.602664	58.725981	45.030651	46.726895	17.203225	19.361727	17.424017	56.364478	110.000019	85.143550	103.864185	118.801441	195.620858	114.393169	74.293966	112.532382
BT_0009	fig|226186.12.peg.8	AAO75116	Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)	3.602420	2.229818	3.201612	3.981354	4.520091	5.655428	4.707057	0.000000	2.331183	11.379192	13.583979	11.783523	2.594130	3.982390	0.000000	0.875455	4.263169	0.000000	3.430478	4.683303	4.515414	11.319335	9.543181	8.698457	3.201119	1.847270	4.414475	3.580758	5.140444	3.181083	0.000000	0.831977	1.988057	6.051527	6.716430	7.126365	5.454340	6.244275	5.542111	4.372242	3.762129	3.519460	6.226668	0.000000	0.000000	1.911590	0.000000	0.659655
