geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC
BT_0158	fig|226186.12.peg.155	AAO75265	Na(+)/H(+) antiporter	3595.111	4202.402	3159.493	6085.085	4628	4807.188	410	377	272.088	8876.476	7704.307	6832.846	196.903	44	30	324.749	51	84
BT_0159	fig|226186.12.peg.156	AAO75266	nodulin 21-related protein	3570.451	5029.482	4072.033	6361	4338.131	6074.11	707	989	658	6217.048	5970	5479.705	1137	255	242	275	739	672
BT_0160	fig|226186.12.peg.157	AAO75267	hypothetical protein	5324.795	8256.388	3345.575	3899	2164	1563	93	73	61	999	691	799	20	22	13	170	36	0
BT_0161	fig|226186.12.peg.158	AAO75268	Uncharacterized MFS-type transporter	4540	4887.174	4653.192	1630	1393	1764	90	121	106	1868	1735	1781	47	44	17	118	139	12
BT_0162	fig|226186.12.peg.159	AAO75269	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	11255.376	12856.31	10824.902	10289	7858	9791	385	481	317	34645.403	28379.865	23326.638	486	203	144	819	1175	593
BT_0163		AAO75270		503.637	518.558	395	861	542	848	62	110	57	1135	1436.472	939.059	273	86	37	191	127	124
BT_0164	fig|226186.12.peg.161	AAO75271	Large extracellular alpha-helical protein	29214.457	32191.14	26878.553	72494	55764.148	66378	11289	13247	9107	93323.521	82143.21	73027.184	21429	8286	6835	7600	17066	11324
BT_0165	fig|226186.12.peg.162	AAO75272	Peptidyl-prolyl cis-trans isomerase	4158.084	3747	4519.668	2190	1812	2343	154	289	110	2905	2973.79	2645	2008	380	448	115	302	248
BT_0166	fig|226186.12.peg.163	AAO75273	putative thiol-disulfide isomerase	2740.609	2613	2467.328	3019	2411	3181	1096	1078	660	4863.104	6587.21	4615	9594	2129	1838	1064	2799	2861
BT_0167	fig|226186.12.peg.164	AAO75274	"Protein of unknown function DUF86, BT0167 group"	3336.756	3829.394	3322.767	1126.456	990.017	1053.493	90	120	57	438.561	404.398	402.82	294.611	186.166	155	254.901	374.049	147.008
BT_0168	fig|226186.12.peg.165	AAO75275	"Nucleotidyltransferase domain protein, BT0168 group"	6801.06	8280.66	7295.799	2208.544	1632.983	1283.507	176	79	162	1000.439	625.602	750.18	831.389	537.834	259	322.099	470.951	219.992
